batch,index,music,hashtag,author,likes,comments,shares,saves,video_id
1,0,original sound - miamonet,riphellokitty,_miamonet,8400000,35400,671900,111800,xgwrapper-0-7329391022411189547
1,1,,"fyp, nflfootball, chiefs",,4300000,43600,663100,120300,-1
1,2,,,,85000,783,3057,739,-1
1,3,,"palworld, palworldgame, palworldgameplay, palworldclips, fypage, fyp, fyp%E3%82%B7, gaming, gamingontiktok",,534000,3131,58400,73800,-1
1,4,,"food, cooking, foodie, fouryou",,1700000,11200,236700,211100,-1
1,5,,"fyp, colorfulhair, viral, sunsethaircolor, zyxcba, hairdye, adorehairdye, newhaircolor, sunsetcolors, purplesunset",,988500,4655,80600,6244,-1
1,6,,"bradynoon, vsp, fyp, stxrivsp, trending",,318500,2869,78400,2679,-1
1,7,,"pov, funny, comedy, dnd, dungeonsanddragons, relatable, bestfriends, foryoupage, crazycae, fantasy",,304900,6038,51700,5968,-1
